背番号,クラブ名,選手名,生年月日,JリーグID
33,京都サンガF.C.,山本　楓大,2004/8/23,1655966
34,京都サンガF.C.,エンリケ　トレヴィザン,1997/1/20,1632553
36,京都サンガF.C.,ファンティーニ　燦,1998/5/24,1610978
39,京都サンガF.C.,平戸　太貴,1997/4/18,1401480
40,京都サンガF.C.,石田　侑資,2002/11/11,1622189
41,京都サンガF.C.,立川　遼翔,2007/2/20,1656728
44,京都サンガF.C.,佐藤　響,2000/3/21,1633161
48,京都サンガF.C.,中野　瑠馬,2002/10/6,1622198
50,京都サンガF.C.,鈴木　義宜,1992/9/11,1400353
77,京都サンガF.C.,新井　晴樹,1998/4/12,1634968
88,京都サンガF.C.,グスタボ　バヘット,1995/12/10,1653073
93,京都サンガF.C.,長沢　駿,1988/8/25,700767
94,京都サンガF.C.,村上　昌謙,1992/8/7,1400638
99,京都サンガF.C.,本田　風智,2001/5/10,1625672
1,ガンバ大阪,東口　順昭,1986/5/12,800922
2,ガンバ大阪,福岡　将太,1995/10/24,1400091
3,ガンバ大阪,半田　陸,2002/1/1,1613332
4,ガンバ大阪,中谷　進之介,1996/3/24,1300871
5,ガンバ大阪,三浦　弦太,1995/3/1,1300069
7,ガンバ大阪,宇佐美　貴史,1992/5/6,800763
8,ガンバ大阪,食野　亮太郎,1998/6/18,1601441
9,ガンバ大阪,林　大地,1997/5/23,1627550
10,ガンバ大阪,倉田　秋,1988/11/26,603210
11,ガンバ大阪,イッサム　ジェバリ,1991/12/25,1638665
13,ガンバ大阪,安部　柊斗,1997/12/5,1626372
15,ガンバ大阪,岸本　武流,1997/7/16,1600171
16,ガンバ大阪,鈴木　徳真,1997/3/12,1611123
17,ガンバ大阪,山下　諒也,1997/10/19,1629925
18,ガンバ大阪,荒木　琉偉,2007/10/14,1644201
19,ガンバ大阪,池谷　銀姿郎,2004/6/19,1637147
21,ガンバ大阪,初瀬　亮,1997/7/10,1500573
22,ガンバ大阪,一森　純,1991/7/2,1500558
23,ガンバ大阪,デニス　ヒュメット,1996/9/13,1651448
27,ガンバ大阪,美藤　倫,2002/2/12,1641369
30,ガンバ大阪,フィリップ　マックス,1993/9/30,1656186
31,ガンバ大阪,張　奥林,2005/4/25,1641368
32,ガンバ大阪,吉原　優輝,2004/7/19,1636781
34,ガンバ大阪,横井　佑弥,2008/4/15,1651491
35,ガンバ大阪,當野　泰生,2007/6/2,1653070
36,ガンバ大阪,山本　天翔,2007/8/24,1651449
37,ガンバ大阪,中積　爲,2007/12/19,1651450
38,ガンバ大阪,名和田　我空,2006/7/29,1644969
40,ガンバ大阪,唐山　翔自,2002/9/21,1622203
41,ガンバ大阪,中村　仁郎,2003/8/22,1627456
42,ガンバ大阪,南野　遥海,2004/5/13,1636782
43,ガンバ大阪,野畑　優真,2008/7/13,1653364
44,ガンバ大阪,奥抜　侃志,1999/8/11,1613553
45,ガンバ大阪,丸岡　海太,2008/12/3,1656043
46,ガンバ大阪,村田　康輔,2008/5/22,1656142
47,ガンバ大阪,中野　伸哉,2003/8/17,1622204
48,ガンバ大阪,藤本　祥輝,2009/4/2,1656143
55,ガンバ大阪,植中　朝日,2001/11/1,1629465
67,ガンバ大阪,佐々木　翔悟,2000/7/25,1622613
97,ガンバ大阪,ウェルトン,1997/8/6,1646184
1,セレッソ大阪,福井　光輝,1995/11/4,1609243
2,セレッソ大阪,中村　拓海,2001/3/16,1624315
3,セレッソ大阪,田中　隼人,2003/11/1,1631733
4,セレッソ大阪,井上　黎生人,1997/3/9,1500812
5,セレッソ大阪,喜田　陽,2000/7/4,1601788
6,セレッソ大阪,登里　享平,1990/11/13,900097
7,セレッソ大阪,上門　知樹,1997/4/27,1600232
8,セレッソ大阪,香川　真司,1989/3/17,600064
9,セレッソ大阪,櫻川　ソロモン,2001/8/4,1629394
10,セレッソ大阪,田中　駿汰,1997/5/26,1626013
11,セレッソ大阪,チアゴ　アンドラーデ,2000/10/31,1650806
13,セレッソ大阪,中島　元彦,1999/4/18,1602938
14,セレッソ大阪,横山　夢樹,2005/9/23,1642028
16,セレッソ大阪,奥田　勇斗,2001/4/21,1626010
17,セレッソ大阪,阪田　澪哉,2004/5/11,1640497
18,セレッソ大阪,石渡　ネルソン,2005/5/10,1636521
19,セレッソ大阪,本間　至恩,2000/8/9,1610939
21,セレッソ大阪,キム　ジンヒョン,1987/7/6,900098
23,セレッソ大阪,中村　航輔,1995/2/27,1300080
26,セレッソ大阪,久保　瑛史,2007/9/2,1653084
27,セレッソ大阪,ディオン　クールズ,1996/6/4,1635585
34,セレッソ大阪,大迫　塁,2004/10/13,1640498
35,セレッソ大阪,吉野　恭平,1994/11/8,1200170
39,セレッソ大阪,金本　毅騎,2004/7/30,1651765
42,セレッソ大阪,塩尻　哲平,2008/4/14,1656065
43,セレッソ大阪,エゼモクェ　チメヅェ海,2009/4/2,1651719
44,セレッソ大阪,畠中　槙之輔,1995/8/25,1200623
45,セレッソ大阪,永添　功樹,2009/4/2,1656841
46,セレッソ大阪,イシボウ　拳,2007/8/29,1646291
48,セレッソ大阪,柴山　昌也,2002/7/2,1631738
66,セレッソ大阪,大畑　歩夢,2001/4/27,1627553
77,セレッソ大阪,ルーカス　フェルナンデス,1994/4/24,1624314
97,セレッソ大阪,鷹啄　トラビス,2001/9/17,1635375
99,セレッソ大阪,イェンギ　クシニ,1999/1/15,1638769
1,ヴィッセル神戸,前川　黛也,1994/9/8,1503034
2,ヴィッセル神戸,飯野　七聖,1996/10/2,1611254
3,ヴィッセル神戸,マテウス　トゥーレル,1999/3/10,1639102
4,ヴィッセル神戸,山川　哲史,1997/10/1,1501592
5,ヴィッセル神戸,郷家　友太,1999/6/10,1504456
6,ヴィッセル神戸,扇原　貴宏,1991/10/5,1000053
7,ヴィッセル神戸,井手口　陽介,1996/8/23,1300486
10,ヴィッセル神戸,大迫　勇也,1990/5/18,900142
11,ヴィッセル神戸,武藤　嘉紀,1992/7/15,1000640
13,ヴィッセル神戸,佐々木　大樹,1999/9/17,1612696
14,ヴィッセル神戸,乾　貴士,1988/6/2,700799
15,ヴィッセル神戸,ジエゴ,1995/9/21,1607193
16,ヴィッセル神戸,カエターノ,1999/6/24,1650732
18,ヴィッセル神戸,井出　遥也,1994/3/25,1100860
19,ヴィッセル神戸,満田　誠,1999/7/20,1605463
21,ヴィッセル神戸,新井　章太,1988/11/1,1100216
23,ヴィッセル神戸,広瀬　陸斗,1995/9/23,1400080
24,ヴィッセル神戸,酒井　高徳,1991/3/14,800567
25,ヴィッセル神戸,鍬先　祐弥,1998/5/15,1632201
26,ヴィッセル神戸,ジェアン　パトリッキ,1997/5/14,1636320
28,ヴィッセル神戸,濱﨑　健斗,2007/6/16,1646560
29,ヴィッセル神戸,小松　蓮,1998/9/10,1601839
30,ヴィッセル神戸,山内　翔,2002/1/6,1617442
31,ヴィッセル神戸,岩波　拓也,1994/6/18,1101309
32,ヴィッセル神戸,ウボングリチャードマンデー,2005/10/1,1650731
33,ヴィッセル神戸,橋本　陸斗,2005/4/2,1632421
35,ヴィッセル神戸,冨永　虹七,2004/7/18,1631766
38,ヴィッセル神戸,浦　十藏,2004/5/21,1640481
39,ヴィッセル神戸,髙山　汐生,2001/6/13,1632761
40,ヴィッセル神戸,内野　航太郎,2004/6/19,1639096
41,ヴィッセル神戸,永戸　勝也,1995/1/15,1607075
42,ヴィッセル神戸,本間　ジャスティン,2005/8/26,1643180
43,ヴィッセル神戸,山田　海斗,2006/8/31,1643193
44,ヴィッセル神戸,日髙　光揮,2003/5/11,1636947
45,ヴィッセル神戸,相澤　デイビッド,2003/8/2,1637306
46,ヴィッセル神戸,伊藤　湊太,2007/9/24,1654743
51,ヴィッセル神戸,瀬口　大翔,2008/1/10,1651140
53,ヴィッセル神戸,渡辺　隼斗,2007/4/6,1648380
55,ヴィッセル神戸,宮原　勇太,2005/4/7,1653087
57,ヴィッセル神戸,入江　羚介,2004/11/5,1651943
58,ヴィッセル神戸,大西　湊太,2007/4/12,1653834
71,ヴィッセル神戸,権田　修一,1989/3/3,500796
80,ヴィッセル神戸,ンドカ　ボニフェイス,1996/2/15,1618151
無,ヴィッセル神戸,里見　汰福,2009/4/20,1648381
無,ヴィッセル神戸,川端　彪英,2008/4/4,1655772
無,ヴィッセル神戸,浅田　連,2010/6/10,1656854
無,ヴィッセル神戸,花元　誉絆,2010/11/1,1656855
1,ファジアーノ岡山,レナート　モーザー,1999/12/6,1655816
2,ファジアーノ岡山,工藤　孝太,2003/8/13,1632431
3,ファジアーノ岡山,藤井　海和,2003/2/15,1633186
4,ファジアーノ岡山,阿部　海大,1999/9/18,1504495
5,ファジアーノ岡山,小倉　幸成,2005/4/9,1650860
6,ファジアーノ岡山,大森　博,2002/9/10,1632235
7,ファジアーノ岡山,竹内　涼,1991/3/8,900115
8,ファジアーノ岡山,江坂　任,1992/5/31,1500455
9,ファジアーノ岡山,レオ　ガウショ,2001/8/3,1656733
13,ファジアーノ岡山,松田　駿,2007/5/22,1646862
14,ファジアーノ岡山,田部井　涼,1999/6/25,1632973
17,ファジアーノ岡山,末吉　塁,1996/7/26,1621197
18,ファジアーノ岡山,田上　大地,1993/6/16,1503026
22,ファジアーノ岡山,一美　和成,1997/11/10,1501479
24,ファジアーノ岡山,藤田　息吹,1991/1/30,1300068
26,ファジアーノ岡山,本山　遥,1999/6/5,1636232
27,ファジアーノ岡山,木村　太哉,1998/7/8,1632215
28,ファジアーノ岡山,松本　昌也,1995/1/25,1300072
30,ファジアーノ岡山,末宗　寛士郎,2007/6/10,1647806
31,ファジアーノ岡山,千田　遼,2007/9/20,1647807
32,ファジアーノ岡山,バイゴリア　ユウト,2006/8/18,1653088
33,ファジアーノ岡山,神谷　優太,1997/4/24,1504445
35,ファジアーノ岡山,髙橋　旺良,2006/3/1,1652842
40,ファジアーノ岡山,河野　孝汰,2003/8/12,1626006
41,ファジアーノ岡山,宮本　英治,1998/8/3,1636324
43,ファジアーノ岡山,鈴木　喜丈,1998/7/6,1601448
45,ファジアーノ岡山,ブラウン　ノア　賢信,2001/5/27,1622681
48,ファジアーノ岡山,立田　悠悟,1998/6/21,1607199
51,ファジアーノ岡山,白井　康介,1994/5/1,1400090
52,ファジアーノ岡山,濵田　太郎,2000/2/21,1636306
55,ファジアーノ岡山,藤井　葉大,2006/1/16,1642073
66,ファジアーノ岡山,西川　潤,2002/2/21,1622193
77,ファジアーノ岡山,川浪　吾郎,1991/4/30,1000054
88,ファジアーノ岡山,山根　永遠,1999/2/5,1607218
98,ファジアーノ岡山,ウェリック　ポポ,2001/10/17,1652453
99,ファジアーノ岡山,ルカオ,1995/9/22,1627569
1,サンフレッチェ広島,大迫　敬介,1999/7/28,1600203
3,サンフレッチェ広島,山﨑　大地,2001/1/8,1605470
4,サンフレッチェ広島,荒木　隼人,1996/8/7,1604880
6,サンフレッチェ広島,川辺　駿,1995/9/8,1300179
9,サンフレッチェ広島,ジャーメイン　良,1995/4/19,1503337
10,サンフレッチェ広島,鈴木　章斗,2003/7/30,1636237
11,サンフレッチェ広島,加藤　陸次樹,1997/8/6,1401505
13,サンフレッチェ広島,新井　直人,1996/10/7,1624653
14,サンフレッチェ広島,松本　泰志,1998/8/22,1607284
15,サンフレッチェ広島,中野　就斗,2000/6/27,1635465
16,サンフレッチェ広島,志知　孝明,1993/12/27,1501895
17,サンフレッチェ広島,木下　康介,1994/10/3,1200538
18,サンフレッチェ広島,菅　大輝,1998/9/10,1602205
19,サンフレッチェ広島,佐々木　翔,1989/10/2,1200024
21,サンフレッチェ広島,田中　雄大,1995/11/17,1503714
23,サンフレッチェ広島,鮎川　峻,2001/9/15,1622855
24,サンフレッチェ広島,東　俊希,2000/7/28,1618152
25,サンフレッチェ広島,茶島　雄介,1991/7/20,1400065
30,サンフレッチェ広島,トルガイ　アルスラン,1990/8/16,1644645
32,サンフレッチェ広島,越道　草太,2004/4/3,1632409
33,サンフレッチェ広島,塩谷　司,1988/12/5,1100145
35,サンフレッチェ広島,中島　洋太朗,2006/4/22,1641144
37,サンフレッチェ広島,キム　ジュソン,2000/12/12,1627198
38,サンフレッチェ広島,ヒル　袈依廉,2002/7/9,1635373
39,サンフレッチェ広島,中村　草太,2002/10/15,1635346
40,サンフレッチェ広島,小原　基樹,2000/3/9,1635360
41,サンフレッチェ広島,前田　直輝,1994/11/17,1200343
43,サンフレッチェ広島,小川　煌,2007/6/24,1650439
45,サンフレッチェ広島,小林　志紋,2008/1/23,1650817
99,サンフレッチェ広島,大内　一生,2000/9/8,1602209
無,サンフレッチェ広島,太田　大翔,2008/4/8,1650445
無,サンフレッチェ広島,野口　蓮斗,2008/4/20,1650815
無,サンフレッチェ広島,森井　莉人,2009/1/17,1650444
無,サンフレッチェ広島,髙橋　成海,2009/5/17,1650456
2,アビスパ福岡,湯澤　聖人,1993/10/10,1400643
3,アビスパ福岡,奈良　竜樹,1993/9/19,1100304
5,アビスパ福岡,上島　拓巳,1997/2/5,1620758
6,アビスパ福岡,重見　柾斗,2001/9/20,1641497
7,アビスパ福岡,碓井　聖生,2001/7/20,1644286
8,アビスパ福岡,奥野　耕平,2000/4/3,1605950
9,アビスパ福岡,シャハブ　ザヘディ,1995/8/18,1646310
10,アビスパ福岡,城後　寿,1986/4/16,500345
11,アビスパ福岡,見木　友哉,1998/3/28,1627404
13,アビスパ福岡,ナッシム　ベン　カリファ,1992/1/13,1637297
14,アビスパ福岡,名古　新太郎,1996/4/17,1500384
15,アビスパ福岡,辻岡　佑真,2001/12/9,1641019
16,アビスパ福岡,岡　哲平,2001/9/6,1625427
17,アビスパ福岡,秋野　央樹,1994/10/8,1200951
18,アビスパ福岡,佐藤　颯之介,2003/7/6,1651493
19,アビスパ福岡,キム　ムンヒョン,2002/5/17,1651274
21,アビスパ福岡,松山　健太,1998/11/17,1632257
22,アビスパ福岡,藤本　一輝,1998/7/29,1630138
24,アビスパ福岡,小畑　裕馬,2001/11/7,1613335
25,アビスパ福岡,北島　祐二,2000/8/4,1605758
27,アビスパ福岡,道脇　豊,2006/4/5,1636787
28,アビスパ福岡,鶴野　怜樹,2001/1/26,1633865
29,アビスパ福岡,前嶋　洋太,1997/8/12,1600179
32,アビスパ福岡,サニブラウン　ハナン,2006/7/3,1650538
33,アビスパ福岡,山脇　樺織,2000/12/17,1640642
34,アビスパ福岡,椎橋　慧也,1997/6/20,1600127
37,アビスパ福岡,田代　雅也,1993/5/1,1600197
40,アビスパ福岡,池田　樹雷人,1996/9/17,1500496
41,アビスパ福岡,藤田　和輝,2001/2/19,1621166
45,アビスパ福岡,宮　大樹,1996/4/1,1604991
46,アビスパ福岡,福島　和毅,2007/4/27,1654120
47,アビスパ福岡,橋本　悠,2002/6/7,1646125
49,アビスパ福岡,前田　一翔,2006/6/16,1641374
52,アビスパ福岡,武本　匠平,2008/5/26,1651798
53,アビスパ福岡,前田　陽輝,2008/10/25,1651799
55,アビスパ福岡,前田　快,2004/7/1,1653372
56,アビスパ福岡,坂井　悠飛,2004/10/5,1656014
57,アビスパ福岡,北浜　琉星,2004/7/15,1641620
58,アビスパ福岡,藤川　虎三,2008/7/29,1656040
99,アビスパ福岡,オビ　パウエル　オビンナ,1997/12/18,1615528
1,Ｖ・ファーレン長崎,後藤　雅明,1994/5/24,1604772
3,Ｖ・ファーレン長崎,関口　正大,1998/4/21,1630145
4,Ｖ・ファーレン長崎,エドゥアルド,1993/4/27,1300886
5,Ｖ・ファーレン長崎,山口　蛍,1990/10/6,400761
6,Ｖ・ファーレン長崎,江川　湧清,2000/10/24,1607375
8,Ｖ・ファーレン長崎,岩崎　悠人,1998/6/11,1500418
9,Ｖ・ファーレン長崎,チアゴ　サンタナ,1993/2/4,1632264
10,Ｖ・ファーレン長崎,マテウス　ジェズス,1997/4/10,1618765
11,Ｖ・ファーレン長崎,ノーマン　キャンベル,1999/11/24,1656010
13,Ｖ・ファーレン長崎,波多野　豪,1998/5/25,1501611
14,Ｖ・ファーレン長崎,名倉　巧,1998/6/3,1504389
16,Ｖ・ファーレン長崎,エメルソン,1999/7/27,1650805
17,Ｖ・ファーレン長崎,高畑　奎汰,2000/9/16,1623040
18,Ｖ・ファーレン長崎,山﨑　凌吾,1992/9/20,1301036
19,Ｖ・ファーレン長崎,澤田　崇,1991/5/26,1400116
20,Ｖ・ファーレン長崎,中村　慶太,1993/6/30,1503021
21,Ｖ・ファーレン長崎,ディエゴ　ピトゥカ,1992/8/15,1632395
22,Ｖ・ファーレン長崎,翁長　聖,1995/2/23,1607170
23,Ｖ・ファーレン長崎,米田　隼也,1995/11/5,1503694
24,Ｖ・ファーレン長崎,山田　陸,1998/4/15,1606084
25,Ｖ・ファーレン長崎,櫛引　一紀,1993/2/12,1100205
26,Ｖ・ファーレン長崎,井岡　海都,1998/4/27,1632217
29,Ｖ・ファーレン長崎,新井　一耀,1993/11/8,1400644
30,Ｖ・ファーレン長崎,ルカ　ラドティッチ,2000/7/17,1641387
33,Ｖ・ファーレン長崎,笠柳　翼,2003/6/24,1636251
34,Ｖ・ファーレン長崎,松本　天夢,2002/9/28,1648378
37,Ｖ・ファーレン長崎,佐々木　奈琉,2003/7/13,1639132
39,Ｖ・ファーレン長崎,洪　怜鎭,2003/8/26,1639124
41,Ｖ・ファーレン長崎,長谷川　元希,1998/12/10,1630134
44,Ｖ・ファーレン長崎,鍋島　暖歩,2004/2/21,1641590
45,Ｖ・ファーレン長崎,ノ　ヒョンジュン,2007/7/19,1655870
48,Ｖ・ファーレン長崎,照山　颯人,2000/8/28,1624296
50,Ｖ・ファーレン長崎,進藤　亮佑,1996/6/7,1500448
1,北海道コンサドーレ札幌,菅野　孝憲,1984/5/3,4520
2,北海道コンサドーレ札幌,髙尾　瑠,1996/11/9,1619988
3,北海道コンサドーレ札幌,パク　ミンギュ,1995/8/10,1607761
4,北海道コンサドーレ札幌,中村　桐耶,2000/7/23,1618850
5,北海道コンサドーレ札幌,福森　晃斗,1992/12/16,1100154
7,北海道コンサドーレ札幌,スパチョーク,1998/5/22,1601674
9,北海道コンサドーレ札幌,マリオ　セルジオ,1995/9/2,1652452
10,北海道コンサドーレ札幌,宮澤　裕樹,1989/6/28,800224
11,北海道コンサドーレ札幌,青木　亮太,1996/3/6,1400057
13,北海道コンサドーレ札幌,堀米　勇輝,1992/12/13,1000380
14,北海道コンサドーレ札幌,田中　克幸,2002/3/15,1635330
15,北海道コンサドーレ札幌,家泉　怜依,2000/1/20,1633171
16,北海道コンサドーレ札幌,長谷川　竜也,1994/3/7,1503019
17,北海道コンサドーレ札幌,内田　瑞己,1999/9/11,1635495
18,北海道コンサドーレ札幌,木戸　柊摩,2003/1/2,1629901
19,北海道コンサドーレ札幌,ティラパット,2007/2/17,1656015
20,北海道コンサドーレ札幌,アマドゥ　バカヨコ,1996/1/1,1648398
22,北海道コンサドーレ札幌,キングロード　サフォ,2002/1/9,1648842
23,北海道コンサドーレ札幌,大森　真吾,2001/2/9,1632766
24,北海道コンサドーレ札幌,田川　知樹,2002/9/18,1630133
25,北海道コンサドーレ札幌,大﨑　玲央,1991/8/7,1600178
27,北海道コンサドーレ札幌,荒野　拓馬,1993/4/20,1000661
28,北海道コンサドーレ札幌,岡田　大和,2001/6/17,1641018
30,北海道コンサドーレ札幌,田中　宏武,1999/4/15,1632974
31,北海道コンサドーレ札幌,堀米　悠斗,1994/9/9,1300024
35,北海道コンサドーレ札幌,原　康介,2005/8/3,1646098
36,北海道コンサドーレ札幌,笹原　悠,2008/9/20,1656857
37,北海道コンサドーレ札幌,徳差　優利,2008/10/2,1652407
38,北海道コンサドーレ札幌,渋谷　優里,2008/12/9,1656858
39,北海道コンサドーレ札幌,川原　颯斗,2003/10/2,1648355
40,北海道コンサドーレ札幌,佐藤　陽成,2003/9/3,1629902
41,北海道コンサドーレ札幌,唯野　鶴眞,2007/5/28,1651452
47,北海道コンサドーレ札幌,西野　奨太,2004/5/28,1632425
50,北海道コンサドーレ札幌,浦上　仁騎,1996/11/11,1624846
51,北海道コンサドーレ札幌,高木　駿,1989/5/22,604916
55,北海道コンサドーレ札幌,梅津　龍之介,2004/6/30,1644148
62,北海道コンサドーレ札幌,大澤　忠臣,2009/2/28,1652406
63,北海道コンサドーレ札幌,多田　蒼生,2008/12/25,1651483
71,北海道コンサドーレ札幌,白井　陽斗,1999/10/23,1608815
1,ヴァンラーレ八戸,吉村　耕一,2003/6/20,1655861
2,ヴァンラーレ八戸,平松　航,2000/5/9,1637626
3,ヴァンラーレ八戸,澤田　雄大,1999/4/17,1646003
4,ヴァンラーレ八戸,鈴木　慎之介,2003/5/7,1655860
5,ヴァンラーレ八戸,稲積　大介,1997/5/8,1629452
6,ヴァンラーレ八戸,鵜木　郁哉,2001/7/4,1625562
7,ヴァンラーレ八戸,佐藤　碧,1997/9/25,1630023
8,ヴァンラーレ八戸,音泉　翔眞,1996/7/7,1629494
9,ヴァンラーレ八戸,髙尾　流星,2003/11/20,1636262
10,ヴァンラーレ八戸,澤上　竜二,1993/10/8,1400653
11,ヴァンラーレ八戸,雪江　悠人,1996/6/9,1624395
13,ヴァンラーレ八戸,大西　勝俉,1990/7/29,1300174
14,ヴァンラーレ八戸,脇坂　崚平,1998/12/27,1636412
15,ヴァンラーレ八戸,速水　修平,2000/11/11,1640625
16,ヴァンラーレ八戸,鏑木　瑞生,2000/5/28,1635382
17,ヴァンラーレ八戸,佐藤　祐太,1995/5/13,1618082
22,ヴァンラーレ八戸,本多　康太郎,2006/5/20,1644968
24,ヴァンラーレ八戸,栗澤　陸,2003/7/31,1652497
25,ヴァンラーレ八戸,谷口　裕介,1995/8/11,1643202
26,ヴァンラーレ八戸,高橋　耕平,1999/9/20,1635364
28,ヴァンラーレ八戸,田中　翼冴,2007/7/18,1643580
30,ヴァンラーレ八戸,井波　勇太,2002/8/29,1650554
34,ヴァンラーレ八戸,高吉　正真,2000/8/25,1635467
41,ヴァンラーレ八戸,白井　陽貴,2000/10/5,1635451
80,ヴァンラーレ八戸,永田　一真,2000/4/26,1640488
90,ヴァンラーレ八戸,イスマイラ,1998/8/4,1625673
99,ヴァンラーレ八戸,中野　誠也,1995/7/23,1604865
1,ベガルタ仙台,堀田　大暉,1994/10/5,1607369
2,ベガルタ仙台,五十嵐　聖己,2002/4/13,1635488
3,ベガルタ仙台,奥山　政幸,1993/7/28,1600204
4,ベガルタ仙台,湯谷　杏吏,2002/7/8,1641538
5,ベガルタ仙台,菅田　真啓,1997/6/28,1629411
6,ベガルタ仙台,松井　蓮之,2000/2/27,1632419
7,ベガルタ仙台,荒木　駿太,1999/10/24,1633277
8,ベガルタ仙台,武田　英寿,2001/9/15,1629404
9,ベガルタ仙台,宮崎　鴻,1999/8/5,1633279
10,ベガルタ仙台,鎌田　大夢,2001/6/23,1629439
11,ベガルタ仙台,小林　心,2000/9/29,1636964
14,ベガルタ仙台,相良　竜之介,2002/8/17,1627554
15,ベガルタ仙台,南　創太,2006/6/15,1650539
17,ベガルタ仙台,工藤　蒼生,2000/5/31,1618666
18,ベガルタ仙台,梅木　翼,1998/11/24,1630142
19,ベガルタ仙台,マテウス　モラエス,2001/3/6,1639140
20,ベガルタ仙台,中田　有祐,2004/6/5,1651456
22,ベガルタ仙台,髙田　椋汰,2000/6/10,1638867
23,ベガルタ仙台,有田　恵人,2002/1/24,1627746
24,ベガルタ仙台,永井　大義,2007/11/19,1652413
26,ベガルタ仙台,横山　颯大,2006/5/30,1646180
27,ベガルタ仙台,岩渕　弘人,1997/9/17,1630063
29,ベガルタ仙台,松澤　香輝,1992/4/3,1201101
30,ベガルタ仙台,西丸　道人,2005/6/15,1645881
33,ベガルタ仙台,林　彰洋,1987/5/7,700722
34,ベガルタ仙台,古屋　歩夢,2007/5/9,1652412
37,ベガルタ仙台,杉山　耀建,2003/11/8,1645028
38,ベガルタ仙台,渡邊　航聖,2008/6/26,1651347
40,ベガルタ仙台,安野　匠,2006/4/8,1649610
41,ベガルタ仙台,髙橋　一平,2003/10/2,1630159
42,ベガルタ仙台,石井　隼太,2001/7/6,1643557
44,ベガルタ仙台,井上　詩音,2000/4/25,1640472
55,ベガルタ仙台,韓　浩康,1993/9/18,1600138
1,ブラウブリッツ秋田,山田　元気,1994/12/16,1200591
2,ブラウブリッツ秋田,岡﨑　亮平,1992/4/25,1500472
3,ブラウブリッツ秋田,飯泉　涼矢,1995/12/28,1627446
4,ブラウブリッツ秋田,岡野　洵,1997/12/9,1401519
5,ブラウブリッツ秋田,長井　一真,1998/11/2,1630146
6,ブラウブリッツ秋田,諸岡　裕人,1997/1/4,1611265
7,ブラウブリッツ秋田,水谷　拓磨,1996/4/24,1400296
8,ブラウブリッツ秋田,梅田　魁人,1997/5/15,1629999
9,ブラウブリッツ秋田,中村　亮太,1991/1/28,1300056
10,ブラウブリッツ秋田,佐藤　大樹,1999/4/23,1610941
11,ブラウブリッツ秋田,佐川　洸介,2000/5/11,1620720
13,ブラウブリッツ秋田,才藤　龍治,1993/3/12,1500524
14,ブラウブリッツ秋田,大石　竜平,1997/1/21,1611266
16,ブラウブリッツ秋田,吉岡　雅和,1995/3/9,1607168
17,ブラウブリッツ秋田,野々村　鷹人,1998/5/13,1632230
18,ブラウブリッツ秋田,半田　航也,1998/9/27,1631674
22,ブラウブリッツ秋田,高橋　秀典,1998/7/18,1632251
23,ブラウブリッツ秋田,矢田貝　壮貴,1998/6/11,1632253
25,ブラウブリッツ秋田,藤山　智史,1994/4/23,1607187
31,ブラウブリッツ秋田,石田　凌太郎,2001/12/13,1619231
32,ブラウブリッツ秋田,長谷川　巧,1998/10/6,1501890
34,ブラウブリッツ秋田,鈴木　翔大,1993/4/3,1627186
47,ブラウブリッツ秋田,堀内　智葵,2006/12/17,1643247
52,ブラウブリッツ秋田,西村　真祈,2001/11/3,1645935
66,ブラウブリッツ秋田,土井　紅貴,2002/4/9,1646530
71,ブラウブリッツ秋田,畑橋　拓輝,2002/8/4,1635504
77,ブラウブリッツ秋田,中野　嘉大,1993/2/24,1500464
1,モンテディオ山形,トーマス　ヒュワード　ベル,1997/3/11,1500662
2,モンテディオ山形,イ　ドンヒ,2000/2/7,1635237
3,モンテディオ山形,熊本　雄太,1995/7/18,1604773
4,モンテディオ山形,西村　慧祐,1998/2/19,1627495
6,モンテディオ山形,山田　拓巳,1989/11/25,800196
7,モンテディオ山形,中村　亮太朗,1997/9/27,1627189
8,モンテディオ山形,土居　聖真,1992/5/21,1100134
9,モンテディオ山形,高橋　潤哉,1997/5/28,1619675
10,モンテディオ山形,氣田　亮真,1997/8/12,1629468
11,モンテディオ山形,ディサロ　燦シルヴァーノ,1996/4/2,1624376
13,モンテディオ山形,野嶽　寛也,2000/12/3,1621165
14,モンテディオ山形,柳町　魁耀,2002/5/7,1632259
15,モンテディオ山形,川井　歩,1999/8/12,1605454
16,モンテディオ山形,長谷川　洸,1995/5/16,1503930
17,モンテディオ山形,寺山　翼,2000/4/10,1605839
18,モンテディオ山形,横山　塁,1999/9/30,1635014
19,モンテディオ山形,岡本　一真,2003/9/19,1636265
20,モンテディオ山形,吉尾　海夏,1998/6/28,1603082
21,モンテディオ山形,田中　渉,2000/9/23,1624295
22,モンテディオ山形,城和　隼颯,1998/8/25,1632248
23,モンテディオ山形,田中　祉同,2003/5/22,1641629
24,モンテディオ山形,平賀　大空,2005/3/2,1636520
25,モンテディオ山形,國分　伸太郎,1994/8/31,1503453
27,モンテディオ山形,榎本　啓吾,1999/9/5,1636234
29,モンテディオ山形,相馬　丞,2001/6/15,1627038
30,モンテディオ山形,竹ノ谷　優駕スベディ,2007/12/27,1650272
32,モンテディオ山形,上林　大誠,2006/2/21,1639135
45,モンテディオ山形,渋谷　飛翔,1995/1/27,1300047
49,モンテディオ山形,坂本　稀吏也,2003/4/23,1636287
